T058: [  0,  0,  1 ] CP03
      [  0,  1, -1 ] CP09
      [ -1, -1, -1 ] CN10

T059: [  0,  0,  1 ] CP03
      [  0,  1, -1 ] CP09
      [  1, -1, -1 ] CP13

T060: [  0,  0, -1 ] CN03
      [  1,  0,  1 ] CP06
      [ -1, -1,  1 ] CN11

T061: [  0,  0, -1 ] CN03
      [  1,  0,  1 ] CP06
      [ -1,  1,  1 ] CN13

T062: [  0,  0, -1 ] CN03
      [ -1,  0,  1 ] CN07
      [  1,  1,  1 ] CP10

T063: [  0,  0, -1 ] CN03
      [ -1,  0,  1 ] CN07
      [  1, -1,  1 ] CP12

T064: [  0,  0, -1 ] CN03
      [  0,  1,  1 ] CP08
      [ -1, -1,  1 ] CN11

T065: [  0,  0, -1 ] CN03
      [  0,  1,  1 ] CP08
      [  1, -1,  1 ] CP12

T066: [  0,  0, -1 ] CN03
      [  0, -1,  1 ] CN09
      [  1,  1,  1 ] CP10

T067: [  0,  0, -1 ] CN03
      [  0, -1,  1 ] CN09
      [ -1,  1,  1 ] CN13

T068: [  1,  0,  0 ] CP01
      [ -1, -1,  0 ] CN04
      [ -2,  1,  0 ] CN15

T069: [  1,  0,  0 ] CP01
      [ -1,  1,  0 ] CN05
      [ -2, -1,  0 ] CN14

T070: [  1,  0,  0 ] CP01
      [ -1,  0, -1 ] CN06
      [ -2,  0,  1 ] CN17

T071: [  1,  0,  0 ] CP01
      [ -1,  0,  1 ] CN07
      [ -2,  0, -1 ] CN16

T072: [ -1,  0,  0 ] CN01
      [  1,  1,  0 ] CP04
      [  2, -1,  0 ] CP15

T073: [ -1,  0,  0 ] CN01
      [  1, -1,  0 ] CP05
      [  2,  1,  0 ] CP14

T074: [ -1,  0,  0 ] CN01
      [  1,  0,  1 ] CP06
      [  2,  0, -1 ] CP17

T075: [ -1,  0,  0 ] CN01
      [  1,  0, -1 ] CP07
      [  2,  0,  1 ] CP16

T076: [  0,  1,  0 ] CP02
      [ -1, -1,  0 ] CN04
      [  1, -2,  0 ] CP19

T077: [  0,  1,  0 ] CP02
      [  1, -1,  0 ] CP05
      [ -1, -2,  0 ] CN18

T078: [  0,  1,  0 ] CP02
      [  0, -1, -1 ] CN08
      [  0, -2,  1 ] CN23

T079: [  0,  1,  0 ] CP02
      [  0, -1,  1 ] CN09
      [  0, -2, -1 ] CN22

T080: [  0, -1,  0 ] CN02
      [  1,  1,  0 ] CP04
      [ -1,  2,  0 ] CN19

T081: [  0, -1,  0 ] CN02
      [ -1,  1,  0 ] CN05
      [  1,  2,  0 ] CP18

T082: [  0, -1,  0 ] CN02
      [  0,  1,  1 ] CP08
      [  0,  2, -1 ] CP23

T083: [  0, -1,  0 ] CN02
      [  0,  1, -1 ] CP09
      [  0,  2,  1 ] CP22

T084: [  0,  0,  1 ] CP03
      [ -1,  0, -1 ] CN06
      [  1,  0, -2 ] CP21

T085: [  0,  0,  1 ] CP03
      [  1,  0, -1 ] CP07
      [ -1,  0, -2 ] CN20

T086: [  0,  0,  1 ] CP03
      [  0, -1, -1 ] CN08
      [  0,  1, -2 ] CP25

T087: [  0,  0,  1 ] CP03
      [  0,  1, -1 ] CP09
      [  0, -1, -2 ] CN24

T088: [  0,  0, -1 ] CN03
      [  1,  0,  1 ] CP06
      [ -1,  0,  2 ] CN21

T089: [  0,  0, -1 ] CN03
      [ -1,  0,  1 ] CN07
      [  1,  0,  2 ] CP20

T090: [  0,  0, -1 ] CN03
      [  0,  1,  1 ] CP08
      [  0, -1,  2 ] CN25

T091: [  0,  0, -1 ] CN03
      [  0, -1,  1 ] CN09
      [  0,  1,  2 ] CP24

T092: [  1,  1,  0 ] CP04
      [  1, -1,  1 ] CP12
      [ -1,  1, -1 ] CN12

T093: [  1,  1,  0 ] CP04
      [  1, -1,  1 ] CP12
      [ -1,  1,  1 ] CN13

T094: [  1,  1,  0 ] CP04
      [ -1,  1, -1 ] CN12
      [  1, -1, -1 ] CP13

T095: [  1,  1,  0 ] CP04
      [  1, -1, -1 ] CP13
      [ -1,  1,  1 ] CN13

T096: [ -1, -1,  0 ] CN04
      [  1, -1,  1 ] CP12
      [ -1,  1, -1 ] CN12

T097: [ -1, -1,  0 ] CN04
      [  1, -1,  1 ] CP12
      [ -1,  1,  1 ] CN13

T098: [ -1, -1,  0 ] CN04
      [ -1,  1, -1 ] CN12
      [  1, -1, -1 ] CP13

T099: [ -1, -1,  0 ] CN04
      [  1, -1, -1 ] CP13
      [ -1,  1,  1 ] CN13

T100: [  1, -1,  0 ] CP05
      [  1,  1,  1 ] CP10
      [ -1, -1, -1 ] CN10

T101: [  1, -1,  0 ] CP05
      [  1,  1,  1 ] CP10
      [ -1, -1,  1 ] CN11

T102: [  1, -1,  0 ] CP05
      [ -1, -1, -1 ] CN10
      [  1,  1, -1 ] CP11

T103: [  1, -1,  0 ] CP05
      [  1,  1, -1 ] CP11
