Type: cpu
Time: Jul 4, 2019 at 6:48pm (IDT)
Duration: 17.78s, Total samples = 21.57s (121.28%)
Showing nodes accounting for 19.57s, 90.73% of 21.57s total
Dropped 139 nodes (cum <= 0.11s)
      flat  flat%   sum%        cum   cum%
         0     0% 90.73%      0.50s  2.32%  runtime.(*mcentral).cacheSpan
         0     0% 90.73%      0.49s  2.27%  runtime.(*mcentral).grow
         0     0% 90.73%      0.66s  3.06%  runtime.(*mheap).alloc
         0     0% 90.73%      0.21s  0.97%  runtime.(*mheap).alloc.func1
         0     0% 90.73%      0.16s  0.74%  runtime.(*mheap).allocSpanLocked
         0     0% 90.73%      0.47s  2.18%  runtime.findrunnable
         0     0% 90.73%      0.35s  1.62%  runtime.forEachP
         0     0% 90.73%      5.94s 27.54%  runtime.gcBgMarkWorker
         0     0% 90.73%      5.86s 27.17%  runtime.gcBgMarkWorker.func2
         0     0% 90.73%      0.33s  1.53%  runtime.gcMarkDone.func1
         0     0% 90.73%      0.39s  1.81%  runtime.gcStart.func2
         0     0% 90.73%      0.29s  1.34%  runtime.gopreempt_m
         0     0% 90.73%      0.30s  1.39%  runtime.goschedImpl
         0     0% 90.73%      1.41s  6.54%  runtime.handoff
         0     0% 90.73%      0.22s  1.02%  runtime.hashGrow
         0     0% 90.73%      0.21s  0.97%  runtime.largeAlloc
         0     0% 90.73%      0.13s   0.6%  runtime.mProf_Malloc
         0     0% 90.73%      0.25s  1.16%  runtime.makeBucketArray
         0     0% 90.73%      0.33s  1.53%  runtime.makeslice
         0     0% 90.73%      0.21s  0.97%  runtime.mallocgc.func1
         0     0% 90.73%      0.59s  2.74%  runtime.mcall
         0     0% 90.73%      0.29s  1.34%  runtime.morestack
         0     0% 90.73%      0.87s  4.03%  runtime.mstart
         0     0% 90.73%      0.41s  1.90%  runtime.netpoll
         0     0% 90.73%      0.25s  1.16%  runtime.newarray
         0     0% 90.73%      0.29s  1.34%  runtime.newstack
         0     0% 90.73%      0.37s  1.72%  runtime.notesleep
         0     0% 90.73%      0.35s  1.62%  runtime.notetsleep
         0     0% 90.73%      0.36s  1.67%  runtime.notetsleep_internal
         0     0% 90.73%      0.20s  0.93%  runtime.notewakeup
         0     0% 90.73%      0.35s  1.62%  runtime.osyield
         0     0% 90.73%      0.58s  2.69%  runtime.park_m
         0     0% 90.73%      0.13s   0.6%  runtime.profilealloc
         0     0% 90.73%      0.11s  0.51%  runtime.resetspinning
         0     0% 90.73%      0.67s  3.11%  runtime.schedule
         0     0% 90.73%      0.73s  3.38%  runtime.semasleep
         0     0% 90.73%      0.20s  0.93%  runtime.semawakeup
         0     0% 90.73%      0.41s  1.90%  runtime.startTheWorldWithSema
         0     0% 90.73%      0.11s  0.51%  runtime.startm
         0     0% 90.73%      0.39s  1.81%  runtime.stopm
         0     0% 90.73%      7.23s 33.52%  runtime.systemstack
         0     0% 90.73%      0.11s  0.51%  runtime.wakep
         0     0% 90.73%      0.11s  0.51%  runtime.wbBufFlush
         0     0% 90.73%      0.12s  0.56%  runtime.wbBufFlush.func1
         0     0% 90.73%     13.86s 64.26%  testing.(*B).run1.func1
         0     0% 90.73%     13.86s 64.26%  testing.(*B).runN
