d,c,avg_cd,min_cd,max_cd,stddev_cd
0,1,0,0,0,
1,3,1.4142135623731,1.4142135623731,1.4142135623731,2.4333494333259e-08
2,6,2.23606797749979,2.23606797749979,2.23606797749979,3.07797062095596e-08
3,12,3.37082869338697,3,3.74165738677394,0.38731793823551
4,24,4.26688397755671,3.3166247903554,5.3851648071345,0.753219955451418
5,35,4.90785678013141,2.82842712474619,7.07106781186548,1.2241799644244
6,48,6.15143852330549,4.12310562561766,8.77496438739212,1.44156088949468
7,69,7.1734702386219,5.09901951359278,10.4880884817015,1.52118088202403
8,86,7.80911271595326,5.3851648071345,12.2065556157337,1.85829535644014
9,108,9.01413021512976,6.16441400296898,13.9283882771841,2.17571408019235
10,138,10.1291304087857,7.28010988928052,15.6524758424985,2.24632541521125
11,161,10.7423340344308,7.07106781186548,17.3781471969828,2.50619704224115
12,192,11.8995877862761,7.68114574786861,19.1049731745428,2.87320498865785
13,231,13.0650119311318,9,20.8326666559997,2.97494026852559
14,260,13.6976188361496,9.4339811320566,22.561028345357,3.16567128119182
15,300,14.8236290972617,9.89949493661167,24.2899156029822,3.54993339993342
16,348,15.9894483111602,11.1803398874989,26.0192236625154,3.69728651229906
17,383,16.6428116312455,11.3137084989848,27.7488738510232,3.83884882860579
18,432,17.7716268058031,11.7046999107196,29.4788059459674,4.21991996155512
19,489,18.9256367694909,12.8062484748657,31.2089730686545,4.40801092486145
20,530,19.5773249396378,13.6014705087354,32.9393381840012,4.52258030431566
21,588,20.7192936672541,13.9283882771841,34.6698716467194,4.89132171720564
22,654,21.8748509340179,14.8660687473185,36.4005494464026,5.10787854745605
23,701,22.5164979836604,15.556349186104,38.1313519298752,5.21126942374789
24,768,23.6611061651571,15.8429795177549,39.8622628559895,5.56820671658381
25,843,24.8242508476927,16.6733320005331,41.5932686861708,5.80121909379093
26,896,25.4638667508032,17.8044938147649,43.3243580448689,5.89971830851242
27,972,26.6056109243783,18.0554700852678,45.0555213042752,6.25014984414102
