d,c,avg_cd,min_cd,max_cd,stddev_cd
0,1,0,0,0,
1,3,1.4142135623731,1.4142135623731,1.4142135623731,2.4333494333259e-08
2,6,2.23606797749979,2.23606797749979,2.23606797749979,0
3,12,3.21862364971568,2.82842712474619,3.74165738677394,0.391447386211628
4,22,4.05048943109356,3.3166247903554,5.3851648071345,0.579728101670057
5,35,4.72028235165137,2.82842712474619,6.16441400296898,0.770078457120215
6,50,5.66938461484174,4.12310562561766,7.34846922834953,0.867836912754056
7,69,6.68551467709031,5.09901951359278,8.60232526704263,0.839893652811865
8,92,7.52267992764352,5.3851648071345,9.4339811320566,1.01447965860646
9,116,8.43773502754725,6.16441400296898,11.0453610171873,1.13189645466149
10,142,9.42151647918179,7.28010988928052,12.6885775404495,1.10887415594802
11,173,10.3381899859274,7.07106781186548,13.490737563232,1.20095943227942
12,208,11.2916852017536,7.68114574786861,14.6969384566991,1.34694469675405
13,243,12.2348031074082,9,15.9373774505092,1.3775518473209
14,280,13.1376841439172,9.4339811320566,16.7630546142402,1.47421261859586
15,324,14.1236251540634,9.89949493661167,18.3847763108502,1.59674674332859
16,370,15.0797065797741,11.1803398874989,20.0249843945008,1.64201797910691
17,415,15.9607018975488,11.3137084989848,20.8326666559997,1.74541351985916
18,466,16.9360416012429,11.7046999107196,22.0454076850486,1.86965042706488
19,521,17.9115355504714,12.8062484748657,23.2808934536456,1.91911532643824
20,576,18.8048419696297,13.6014705087354,24.1039415863879,2.02835596499369
21,636,19.7643427318927,13.9283882771841,25.7293606605372,2.15238415888576
22,698,20.7270571538072,14.8660687473185,27.367864366808,2.20524775721593
23,761,21.633726312427,15.556349186104,28.1780056072107,2.30908250276649
24,832,22.606278551398,15.8429795177549,29.3938769133981,2.43607402661901
25,903,23.5569208270999,16.6733320005331,30.6267856622271,2.49734836640866
26,972,24.4515287418464,17.8044938147649,31.4483703870328,2.60026644547663
27,1052,25.4359496298661,18.0554700852678,33.0756708170825,2.72269153105512
28,1134,26.3968550716783,18.7882942280559,34.7131099154196,2.78814347534902
