d,c,avg_cd,min_cd,max_cd,stddev_cd
0,1,0,0,0,
1,3,1.4142135623731,1.4142135623731,1.4142135623731,2.4333494333259e-08
2,6,2.23606797749979,2.23606797749979,2.23606797749979,3.07797062095596e-08
3,12,3.21862364971568,2.82842712474619,3.74165738677394,0.391447386211628
4,22,3.99312310466098,3.3166247903554,5.3851648071345,0.498057807053152
5,34,4.6778078913185,2.82842712474619,6.16441400296898,0.738874108381888
6,49,5.62728251086066,4.12310562561766,7.34846922834953,0.820960890323116
7,73,6.53531535836221,5.09901951359278,8.60232526704263,0.746702763014337
8,95,7.40562284397177,5.3851648071345,9.4339811320566,0.8560875739413
9,121,8.41706542977495,6.16441400296898,10.4880884817015,0.853981633571953
10,163,9.32620722703396,7.28010988928052,11.2249721603218,0.837261031403074
11,195,10.3107020935145,7.48331477354788,12.5698050899765,0.856862401785959
12,222,11.3412282554339,9.4339811320566,13.6014705087354,0.814440507255314
13,268,12.2905851205221,10.1980390271856,14.7648230602334,0.859680852535702
14,316,13.2403367422137,11.1803398874989,15.6524758424985,0.878564148005083
15,356,14.2216863955434,11.3137084989848,16.6733320005331,0.921930674407442
16,419,15.2115315983793,12.2065556157337,17.8044938147649,0.923250180967439
17,486,16.1634494122368,13.076696830622,18.8679622641132,0.964366044266829
18,540,17.1724220275425,14.0356688476182,20.3224014329016,0.99747149935918
19,608,18.1840777444899,15,21.4009345590327,1.01008463773989
20,672,19.1544001753013,15.6524758424985,22.561028345357,1.01568697227299
21,729,20.1348385625975,17.0293863659264,23.7907545067406,1.04949834064141
22,803,21.1712847197864,17.8044938147649,24.7184141886165,1.0881891206302
23,895,22.1451947611448,19.2093727122985,25.7293606605372,1.09980796926377
24,969,23.0826008034573,19.8746069143518,26.7020598456374,1.16355663950771
25,1049,24.0942127506541,19.7989898732233,27.5317997958724,1.18429956857691
26,1144,25.0597232635972,21.2132034355964,28.8617393793236,1.20430433373857
27,1227,26.0489100603931,21.9544984001001,30.0333148353624,1.24731597145662
