d,c,avg_cd,min_cd,max_cd,stddev_cd
28,1288,26.9419556521871,23.3452350598575,34.7131099154196,1.63127004892393
29,1380,27.9012022641821,23.7907545067406,35.5246393366632,1.68593095974442
30,1470,28.865562969419,25.0998007960223,36.7423461417477,1.73274503216643
31,1586,29.8405387556261,26.0768096208106,37.973675092095,1.79343411370643
32,1695,30.7919277067204,26.4764045897475,38.7943294825416,1.83272331678315
33,1802,31.765047311246,28.1780056072107,40.4227658628155,1.88644133569902
34,1925,32.770931458264,28.6530975637888,42.0594816896262,1.95892711944635
35,2034,33.7613339058612,29.9332590941915,42.871902220452,1.99932663435651
36,2131,34.7089099342832,30.8706980808663,44.0908153700972,2.05777332726127
37,2253,35.6896649269007,31.0161248385416,45.3210767744986,2.1219830338326
38,2386,36.6521258057893,32.310988842807,46.1410879802373,2.15610040537799
39,2512,37.6095326444876,33.2565782966318,47.7702836499847,2.22194553019521
40,2658,38.5995809320423,33.8378486313773,49.4064773081425,2.29514970836384
41,2803,39.5762464860616,35.3553390593274,50.2195181179589,2.33820956402935
42,2926,40.5430258454488,35.9026461420325,51.4392845984467,2.38812588208912
43,3070,41.5403457918027,37.1752605908822,52.6687763290548,2.4458283019268
44,3207,42.4952159198952,38.1706693679846,53.4883164812653,2.49248983715781
45,3334,43.4558408181089,38.2883794381533,55.1180551180827,2.55540012090447
46,3511,44.4467165326287,39.5727178748188,56.7538544946508,2.62712382799175
47,3679,45.4104240805536,40.4969134626332,57.567351858497,2.68247908925745
48,3816,46.3676789682637,41.0487515035476,58.7877538267963,2.7277676324204
49,4000,47.3597572982063,42.5910788780937,60.0166643524946,2.78070525864029
50,4167,48.3277361244525,43.1856457633784,60.8358446970205,2.82967782816956
51,4308,49.3037033460544,44.2492937796752,62.4659907469657,2.8864009891847
52,4494,50.2872197474146,45.4862616621766,64.1014820421494,2.96172302632852
53,4663,51.251126186211,45.5850852801659,64.9153294684699,3.02168579380248
54,4829,52.2081128393827,46.8614980554399,66.1362230551458,3.06361216249852
55,5037,53.1894416156509,47.7702836499847,67.3646791723972,3.12571469822751
56,5217,54.1546719941686,48.3011387029333,68.1835757349231,3.17164336906497
57,5398,55.1231137141729,49.7995983919549,69.8140387028282,3.22041619768534
58,5613,56.119021495752,50.4876222454574,71.449282711585,3.29922311409912
59,5798,57.0982630431086,51.4003891035856,72.2634070605587,3.35658633467753
60,5973,58.0448210211481,52.6497863243527,73.4846922834953,3.39967073719114
61,6186,59.0249608655409,52.8961246217528,74.7127833774114,3.46582838071819
62,6391,59.992195588205,54.1664102558034,75.5314504031268,3.51261910730797
63,6591,60.951917127101,55.0635995917448,77.1621668954417,3.56435089272698
64,6825,61.9428958141878,55.578772926361,78.7972080723676,3.63912923114354
